SIGUNGU,FLOOD_YEAR,FLOOD_MONTH,FLOOD_AREA,FLOOD_YEAR,FLOOD_MONTH,RAIN_TOTAL,DRAINAGE_GRD,PUMP_CNT,RIV_GRD,RIV_DIS_MIN,RIV_DIS_GRD
48220,2016,10,44985.66,2016,8,61.7,1,4,3,775.70058227942,2
48220,2016,10,44985.66,2016,8,61.7,1,4,3,240.031686483017,4
48220,2016,10,44985.66,2016,8,61.7,1,4,2,1039.32707845325,2
48220,2016,10,44985.66,2016,8,61.7,1,4,3,301.65126570727,3
48220,2016,10,44985.66,2016,8,61.7,1,4,3,197.26977441281,4
48220,2016,10,44985.66,2016,8,61.7,1,4,3,99.1167280136787,5
48220,2016,10,44985.66,2016,9,543.3,1,4,3,206.280272540428,4
48220,2016,10,44985.66,2016,9,543.3,1,4,3,196.905242165914,4
48220,2016,10,44985.66,2016,9,543.3,1,4,2,826.648898857144,2
48220,2016,10,44985.66,2016,9,543.3,1,4,2,741.169158266028,2
48220,2016,10,44985.66,2016,9,543.3,1,4,2,556.730672003048,3
48220,2016,10,44985.66,2016,9,543.3,1,4,3,445.424588155901,3
48220,2016,10,44985.66,2016,9,543.3,1,4,3,486.779959850489,3
48220,2016,10,44985.66,2016,9,543.3,1,4,3,423.20375778295,3
48220,2016,10,44985.66,2016,9,543.3,1,4,2,316.015980147767,3
48220,2016,10,44985.66,2016,9,543.3,1,4,3,847.33335344003,2
48220,2016,10,44985.66,2016,9,543.3,1,4,3,775.70058227942,2
48220,2016,10,44985.66,2016,9,543.3,1,4,3,240.031686483017,4
48220,2016,10,44985.66,2016,9,543.3,1,4,2,1039.32707845325,2
48220,2016,10,44985.66,2016,9,543.3,1,4,3,301.65126570727,3
48220,2016,10,44985.66,2016,9,543.3,1,4,3,197.26977441281,4
48220,2016,10,44985.66,2016,9,543.3,1,4,3,99.1167280136787,5
48220,2016,10,44985.66,2016,10,194.0,1,4,3,206.280272540428,4
48220,2016,10,44985.66,2016,10,194.0,1,4,3,196.905242165914,4
48220,2016,10,44985.66,2016,10,194.0,1,4,2,826.648898857144,2
48220,2016,10,44985.66,2016,10,194.0,1,4,2,741.169158266028,2
48220,2016,10,44985.66,2016,10,194.0,1,4,2,556.730672003048,3
48220,2016,10,44985.66,2016,10,194.0,1,4,3,445.424588155901,3
48220,2016,10,44985.66,2016,10,194.0,1,4,3,486.779959850489,3
48220,2016,10,44985.66,2016,10,194.0,1,4,3,423.20375778295,3
48220,2016,10,44985.66,2016,10,194.0,1,4,2,316.015980147767,3
48220,2016,10,44985.66,2016,10,194.0,1,4,3,847.33335344003,2
48220,2016,10,44985.66,2016,10,194.0,1,4,3,775.70058227942,2
48220,2016,10,44985.66,2016,10,194.0,1,4,3,240.031686483017,4
48220,2016,10,44985.66,2016,10,194.0,1,4,2,1039.32707845325,2
48220,2016,10,44985.66,2016,10,194.0,1,4,3,301.65126570727,3
48220,2016,10,44985.66,2016,10,194.0,1,4,3,197.26977441281,4
48220,2016,10,44985.66,2016,10,194.0,1,4,3,99.1167280136787,5
48220,2016,10,44985.66,2016,11,61.7,1,4,3,206.280272540428,4
48220,2016,10,44985.66,2016,11,61.7,1,4,3,196.905242165914,4
48220,2016,10,44985.66,2016,11,61.7,1,4,2,826.648898857144,2
48220,2016,10,44985.66,2016,11,61.7,1,4,2,741.169158266028,2
48220,2016,10,44985.66,2016,11,61.7,1,4,2,556.730672003048,3
48220,2016,10,44985.66,2016,11,61.7,1,4,3,445.424588155901,3
48220,2016,10,44985.66,2016,11,61.7,1,4,3,486.779959850489,3
48220,2016,10,44985.66,2016,11,61.7,1,4,3,423.20375778295,3
48220,2016,10,44985.66,2016,11,61.7,1,4,2,316.015980147767,3
48220,2016,10,44985.66,2016,11,61.7,1,4,3,847.33335344003,2
48220,2016,10,44985.66,2016,11,61.7,1,4,3,775.70058227942,2
48220,2016,10,44985.66,2016,11,61.7,1,4,3,240.031686483017,4
48220,2016,10,44985.66,2016,11,61.7,1,4,2,1039.32707845325,2
48220,2016,10,44985.66,2016,11,61.7,1,4,3,301.65126570727,3
48220,2016,10,44985.66,2016,11,61.7,1,4,3,197.26977441281,4
48220,2016,10,44985.66,2016,11,61.7,1,4,3,99.1167280136787,5
48220,2016,10,44985.66,2016,12,118.1,1,4,3,206.280272540428,4
48220,2016,10,44985.66,2016,12,118.1,1,4,3,196.905242165914,4
48220,2016,10,44985.66,2016,12,118.1,1,4,2,826.648898857144,2
48220,2016,10,44985.66,2016,12,118.1,1,4,2,741.169158266028,2
48220,2016,10,44985.66,2016,12,118.1,1,4,2,556.730672003048,3
48220,2016,10,44985.66,2016,12,118.1,1,4,3,445.424588155901,3
48220,2016,10,44985.66,2016,12,118.1,1,4,3,486.779959850489,3
48220,2016,10,44985.66,2016,12,118.1,1,4,3,423.20375778295,3
48220,2016,10,44985.66,2016,12,118.1,1,4,2,316.015980147767,3
48220,2016,10,44985.66,2016,12,118.1,1,4,3,847.33335344003,2
48220,2016,10,44985.66,2016,12,118.1,1,4,3,775.70058227942,2
48220,2016,10,44985.66,2016,12,118.1,1,4,3,240.031686483017,4
48220,2016,10,44985.66,2016,12,118.1,1,4,2,1039.32707845325,2
48220,2016,10,44985.66,2016,12,118.1,1,4,3,301.65126570727,3
48220,2016,10,44985.66,2016,12,118.1,1,4,3,197.26977441281,4
48220,2016,10,44985.66,2016,12,118.1,1,4,3,99.1167280136787,5
48220,2016,10,44985.66,2017,1,16.2,1,4,3,206.280272540428,4
48220,2016,10,44985.66,2017,1,16.2,1,4,3,196.905242165914,4
48220,2016,10,44985.66,2017,1,16.2,1,4,2,826.648898857144,2
48220,2016,10,44985.66,2017,1,16.2,1,4,2,741.169158266028,2
48220,2016,10,44985.66,2017,1,16.2,1,4,2,556.730672003048,3
48220,2016,10,44985.66,2017,1,16.2,1,4,3,445.424588155901,3
48220,2016,10,44985.66,2017,1,16.2,1,4,3,486.779959850489,3
48220,2016,10,44985.66,2017,1,16.2,1,4,3,423.20375778295,3
48220,2016,10,44985.66,2017,1,16.2,1,4,2,316.015980147767,3
48220,2016,10,44985.66,2017,1,16.2,1,4,3,847.33335344003,2
48220,2016,10,44985.66,2017,1,16.2,1,4,3,775.70058227942,2
48220,2016,10,44985.66,2017,1,16.2,1,4,3,240.031686483017,4
48220,2016,10,44985.66,2017,1,16.2,1,4,2,1039.32707845325,2
48220,2016,10,44985.66,2017,1,16.2,1,4,3,301.65126570727,3
48220,2016,10,44985.66,2017,1,16.2,1,4,3,197.26977441281,4
48220,2016,10,44985.66,2017,1,16.2,1,4,3,99.1167280136787,5
48220,2016,10,44985.66,2017,2,43.0,1,4,3,206.280272540428,4
48220,2016,10,44985.66,2017,2,43.0,1,4,3,196.905242165914,4
48220,2016,10,44985.66,2017,2,43.0,1,4,2,826.648898857144,2
48220,2016,10,44985.66,2017,2,43.0,1,4,2,741.169158266028,2
48220,2016,10,44985.66,2017,2,43.0,1,4,2,556.730672003048,3
48220,2016,10,44985.66,2017,2,43.0,1,4,3,445.424588155901,3
48220,2016,10,44985.66,2017,2,43.0,1,4,3,486.779959850489,3
48220,2016,10,44985.66,2017,2,43.0,1,4,3,423.20375778295,3
48220,2016,10,44985.66,2017,2,43.0,1,4,2,316.015980147767,3
48220,2016,10,44985.66,2017,2,43.0,1,4,3,847.33335344003,2
48220,2016,10,44985.66,2017,2,43.0,1,4,3,775.70058227942,2
48220,2016,10,44985.66,2017,2,43.0,1,4,3,240.031686483017,4
48220,2016,10,44985.66,2017,2,43.0,1,4,2,1039.32707845325,2
48220,2016,10,44985.66,2017,2,43.0,1,4,3,301.65126570727,3
48220,2016,10,44985.66,2017,2,43.0,1,4,3,197.26977441281,4
48220,2016,10,44985.66,2017,2,43.0,1,4,3,99.1167280136787,5
48220,2016,10,44985.66,2017,3,32.6,1,4,3,206.280272540428,4
48220,2016,10,44985.66,2017,3,32.6,1,4,3,196.905242165914,4
48220,2016,10,44985.66,2017,3,32.6,1,4,2,826.648898857144,2
48220,2016,10,44985.66,2017,3,32.6,1,4,2,741.169158266028,2
48220,2016,10,44985.66,2017,3,32.6,1,4,2,556.730672003048,3
48220,2016,10,44985.66,2017,3,32.6,1,4,3,445.424588155901,3
48220,2016,10,44985.66,2017,3,32.6,1,4,3,486.779959850489,3
48220,2016,10,44985.66,2017,3,32.6,1,4,3,423.20375778295,3
48220,2016,10,44985.66,2017,3,32.6,1,4,2,316.015980147767,3
48220,2016,10,44985.66,2017,3,32.6,1,4,3,847.33335344003,2
48220,2016,10,44985.66,2017,3,32.6,1,4,3,775.70058227942,2
48220,2016,10,44985.66,2017,3,32.6,1,4,3,240.031686483017,4
48220,2016,10,44985.66,2017,3,32.6,1,4,2,1039.32707845325,2
48220,2016,10,44985.66,2017,3,32.6,1,4,3,301.65126570727,3
48220,2016,10,44985.66,2017,3,32.6,1,4,3,197.26977441281,4
48220,2016,10,44985.66,2017,3,32.6,1,4,3,99.1167280136787,5
48220,2016,10,44985.66,2017,4,148.5,1,4,3,206.280272540428,4
48220,2016,10,44985.66,2017,4,148.5,1,4,3,196.905242165914,4
48220,2016,10,44985.66,2017,4,148.5,1,4,2,826.648898857144,2
48220,2016,10,44985.66,2017,4,148.5,1,4,2,741.169158266028,2
48220,2016,10,44985.66,2017,4,148.5,1,4,2,556.730672003048,3
48220,2016,10,44985.66,2017,4,148.5,1,4,3,445.424588155901,3
48220,2016,10,44985.66,2017,4,148.5,1,4,3,486.779959850489,3
48220,2016,10,44985.66,2017,4,148.5,1,4,3,423.20375778295,3
48220,2016,10,44985.66,2017,4,148.5,1,4,2,316.015980147767,3
48220,2016,10,44985.66,2017,4,148.5,1,4,3,847.33335344003,2
48220,2016,10,44985.66,2017,4,148.5,1,4,3,775.70058227942,2
48220,2016,10,44985.66,2017,4,148.5,1,4,3,240.031686483017,4
48220,2016,10,44985.66,2017,4,148.5,1,4,2,1039.32707845325,2
48220,2016,10,44985.66,2017,4,148.5,1,4,3,301.65126570727,3
48220,2016,10,44985.66,2017,4,148.5,1,4,3,197.26977441281,4
48220,2016,10,44985.66,2017,4,148.5,1,4,3,99.1167280136787,5
48220,2016,10,44985.66,2017,5,34.8,1,4,3,206.280272540428,4
48220,2016,10,44985.66,2017,5,34.8,1,4,3,196.905242165914,4
48220,2016,10,44985.66,2017,5,34.8,1,4,2,826.648898857144,2
48220,2016,10,44985.66,2017,5,34.8,1,4,2,741.169158266028,2
48220,2016,10,44985.66,2017,5,34.8,1,4,2,556.730672003048,3
48220,2016,10,44985.66,2017,5,34.8,1,4,3,445.424588155901,3
48220,2016,10,44985.66,2017,5,34.8,1,4,3,486.779959850489,3
48220,2016,10,44985.66,2017,5,34.8,1,4,3,423.20375778295,3
48220,2016,10,44985.66,2017,5,34.8,1,4,2,316.015980147767,3
48220,2016,10,44985.66,2017,5,34.8,1,4,3,847.33335344003,2
48220,2016,10,44985.66,2017,5,34.8,1,4,3,775.70058227942,2
48220,2016,10,44985.66,2017,5,34.8,1,4,3,240.031686483017,4
48220,2016,10,44985.66,2017,5,34.8,1,4,2,1039.32707845325,2
48220,2016,10,44985.66,2017,5,34.8,1,4,3,301.65126570727,3
48220,2016,10,44985.66,2017,5,34.8,1,4,3,197.26977441281,4
48220,2016,10,44985.66,2017,5,34.8,1,4,3,99.1167280136787,5
48220,2016,10,44985.66,2017,6,68.4,1,4,3,206.280272540428,4
48220,2016,10,44985.66,2017,6,68.4,1,4,3,196.905242165914,4
48220,2016,10,44985.66,2017,6,68.4,1,4,2,826.648898857144,2
48220,2016,10,44985.66,2017,6,68.4,1,4,2,741.169158266028,2
48220,2016,10,44985.66,2017,6,68.4,1,4,2,556.730672003048,3
48220,2016,10,44985.66,2017,6,68.4,1,4,3,445.424588155901,3
48220,2016,10,44985.66,2017,6,68.4,1,4,3,486.779959850489,3
48220,2016,10,44985.66,2017,6,68.4,1,4,3,423.20375778295,3
48220,2016,10,44985.66,2017,6,68.4,1,4,2,316.015980147767,3
48220,2016,10,44985.66,2017,6,68.4,1,4,3,847.33335344003,2
48220,2016,10,44985.66,2017,6,68.4,1,4,3,775.70058227942,2
48220,2016,10,44985.66,2017,6,68.4,1,4,3,240.031686483017,4
48220,2016,10,44985.66,2017,6,68.4,1,4,2,1039.32707845325,2
48220,2016,10,44985.66,2017,6,68.4,1,4,3,301.65126570727,3
48220,2016,10,44985.66,2017,6,68.4,1,4,3,197.26977441281,4
48220,2016,10,44985.66,2017,6,68.4,1,4,3,99.1167280136787,5
48220,2016,10,44985.66,2017,7,223.3,1,4,3,206.280272540428,4
48220,2016,10,44985.66,2017,7,223.3,1,4,3,196.905242165914,4
48220,2016,10,44985.66,2017,7,223.3,1,4,2,826.648898857144,2
48220,2016,10,44985.66,2017,7,223.3,1,4,2,741.169158266028,2
48220,2016,10,44985.66,2017,7,223.3,1,4,2,556.730672003048,3
48220,2016,10,44985.66,2017,7,223.3,1,4,3,445.424588155901,3
48220,2016,10,44985.66,2017,7,223.3,1,4,3,486.779959850489,3
48220,2016,10,44985.66,2017,7,223.3,1,4,3,423.20375778295,3
48220,2016,10,44985.66,2017,7,223.3,1,4,2,316.015980147767,3
48220,2016,10,44985.66,2017,7,223.3,1,4,3,847.33335344003,2
48220,2016,10,44985.66,2017,7,223.3,1,4,3,775.70058227942,2
48220,2016,10,44985.66,2017,7,223.3,1,4,3,240.031686483017,4
48220,2016,10,44985.66,2017,7,223.3,1,4,2,1039.32707845325,2
48220,2016,10,44985.66,2017,7,223.3,1,4,3,301.65126570727,3
48220,2016,10,44985.66,2017,7,223.3,1,4,3,197.26977441281,4
48220,2016,10,44985.66,2017,7,223.3,1,4,3,99.1167280136787,5
48220,2016,10,44985.66,2017,8,169.7,1,4,3,206.280272540428,4
48220,2016,10,44985.66,2017,8,169.7,1,4,3,196.905242165914,4
48220,2016,10,44985.66,2017,8,169.7,1,4,2,826.648898857144,2
48220,2016,10,44985.66,2017,8,169.7,1,4,2,741.169158266028,2
48220,2016,10,44985.66,2017,8,169.7,1,4,2,556.730672003048,3
48220,2016,10,44985.66,2017,8,169.7,1,4,3,445.424588155901,3
48220,2016,10,44985.66,2017,8,169.7,1,4,3,486.779959850489,3
48220,2016,10,44985.66,2017,8,169.7,1,4,3,423.20375778295,3
48220,2016,10,44985.66,2017,8,169.7,1,4,2,316.015980147767,3
48220,2016,10,44985.66,2017,8,169.7,1,4,3,847.33335344003,2
48220,2016,10,44985.66,2017,8,169.7,1,4,3,775.70058227942,2
48220,2016,10,44985.66,2017,8,169.7,1,4,3,240.031686483017,4
48220,2016,10,44985.66,2017,8,169.7,1,4,2,1039.32707845325,2
48220,2016,10,44985.66,2017,8,169.7,1,4,3,301.65126570727,3
48220,2016,10,44985.66,2017,8,169.7,1,4,3,197.26977441281,4
48220,2016,10,44985.66,2017,8,169.7,1,4,3,99.1167280136787,5
48220,2016,10,44985.66,2017,9,362.2,1,4,3,206.280272540428,4
48220,2016,10,44985.66,2017,9,362.2,1,4,3,196.905242165914,4
48220,2016,10,44985.66,2017,9,362.2,1,4,2,826.648898857144,2
48220,2016,10,44985.66,2017,9,362.2,1,4,2,741.169158266028,2
48220,2016,10,44985.66,2017,9,362.2,1,4,2,556.730672003048,3
48220,2016,10,44985.66,2017,9,362.2,1,4,3,445.424588155901,3
48220,2016,10,44985.66,2017,9,362.2,1,4,3,486.779959850489,3
48220,2016,10,44985.66,2017,9,362.2,1,4,3,423.20375778295,3
48220,2016,10,44985.66,2017,9,362.2,1,4,2,316.015980147767,3
48220,2016,10,44985.66,2017,9,362.2,1,4,3,847.33335344003,2
48220,2016,10,44985.66,2017,9,362.2,1,4,3,775.70058227942,2
48220,2016,10,44985.66,2017,9,362.2,1,4,3,240.031686483017,4
48220,2016,10,44985.66,2017,9,362.2,1,4,2,1039.32707845325,2
48220,2016,10,44985.66,2017,9,362.2,1,4,3,301.65126570727,3
48220,2016,10,44985.66,2017,9,362.2,1,4,3,197.26977441281,4
48220,2016,10,44985.66,2017,9,362.2,1,4,3,99.1167280136787,5
48220,2016,10,44985.66,2017,10,132.1,1,4,3,206.280272540428,4
48220,2016,10,44985.66,2017,10,132.1,1,4,3,196.905242165914,4
48220,2016,10,44985.66,2017,10,132.1,1,4,2,826.648898857144,2
48220,2016,10,44985.66,2017,10,132.1,1,4,2,741.169158266028,2
48220,2016,10,44985.66,2017,10,132.1,1,4,2,556.730672003048,3
48220,2016,10,44985.66,2017,10,132.1,1,4,3,445.424588155901,3
48220,2016,10,44985.66,2017,10,132.1,1,4,3,486.779959850489,3
48220,2016,10,44985.66,2017,10,132.1,1,4,3,423.20375778295,3
48220,2016,10,44985.66,2017,10,132.1,1,4,2,316.015980147767,3
48220,2016,10,44985.66,2017,10,132.1,1,4,3,847.33335344003,2
48220,2016,10,44985.66,2017,10,132.1,1,4,3,775.70058227942,2
48220,2016,10,44985.66,2017,10,132.1,1,4,3,240.031686483017,4
48220,2016,10,44985.66,2017,10,132.1,1,4,2,1039.32707845325,2
48220,2016,10,44985.66,2017,10,132.1,1,4,3,301.65126570727,3
48220,2016,10,44985.66,2017,10,132.1,1,4,3,197.26977441281,4
48220,2016,10,44985.66,2017,10,132.1,1,4,3,99.1167280136787,5
48220,2016,10,44985.66,2017,11,1.0,1,4,3,206.280272540428,4
48220,2016,10,44985.66,2017,11,1.0,1,4,3,196.905242165914,4
48220,2016,10,44985.66,2017,11,1.0,1,4,2,826.648898857144,2
48220,2016,10,44985.66,2017,11,1.0,1,4,2,741.169158266028,2
48220,2016,10,44985.66,2017,11,1.0,1,4,2,556.730672003048,3
48220,2016,10,44985.66,2017,11,1.0,1,4,3,445.424588155901,3
48220,2016,10,44985.66,2017,11,1.0,1,4,3,486.779959850489,3
48220,2016,10,44985.66,2017,11,1.0,1,4,3,423.20375778295,3
48220,2016,10,44985.66,2017,11,1.0,1,4,2,316.015980147767,3
48220,2016,10,44985.66,2017,11,1.0,1,4,3,847.33335344003,2
48220,2016,10,44985.66,2017,11,1.0,1,4,3,775.70058227942,2
48220,2016,10,44985.66,2017,11,1.0,1,4,3,240.031686483017,4
48220,2016,10,44985.66,2017,11,1.0,1,4,2,1039.32707845325,2
48220,2016,10,44985.66,2017,11,1.0,1,4,3,301.65126570727,3
48220,2016,10,44985.66,2017,11,1.0,1,4,3,197.26977441281,4
48220,2016,10,44985.66,2017,11,1.0,1,4,3,99.1167280136787,5
48220,2016,10,44985.66,2017,12,17.6,1,4,3,206.280272540428,4
48220,2016,10,44985.66,2017,12,17.6,1,4,3,196.905242165914,4
